1ci-smcs	['3091']
aol-2	['5192']
aol-3	['5193']
ap	['47806']
apani1	['9160']
apani2	['9161']
apani3	['9162']
apani4	['9163']
apani5	['9164']
apc-2160	['2160']
apc-2161	['2161']
apc-2260	['2260']
apc-3052	['3052']
apc-3506	['3506']
apc-5454	['5454']
apc-5455	['5455']
apc-5456	['5456']
apc-6547	['6547']
apc-6548	['6548']
apc-6549	['6549']
apc-7845	['7845']
apc-7846	['7846']
apc-9950	['9950']
apc-9951	['9951']
apc-9952	['9952']
apc-necmp	['18888']
apcupsd	['3551']
apdap	['3948']
apertus-ldp	['539']
apex-edge	['913']
apex-mesh	['912']
aplx	['1134']
apm-link	['32483']
apocd	['3809']
apogeex-port	['3184']
apollo-admin	['8122']
apollo-cc	['2754']
apollo-data	['8121']
apollo-gms	['2759']
apollo-relay	['10252']
apollo-status	['2758']
apparenet-as	['3238']
apparenet-tps	['3237']
apparenet-ts	['3236']
apparenet-ui	['3239']
appiq-mgmt	['4674']
apple-licman	['1381']
apple-sasl	['3659']
apple-vpns-rp	['4112']
appleqtc	['458']
appleqtcsrvr	['545']
appleugcontrol	['2336']
appliance-cfg	['2898']
applus	['2037']
applusservice	['4087']
appman-server	['3312']
appserv-http	['4848']
appserv-https	['4849']
appss-lm	['3879']
appswitch-emp	['2616']
appworxsrv	['2136']
apri-lm	['1447']
aprigo-cs	['5086']
apsolab-col	['5470']
apsolab-cols	['5471']
apsolab-data	['5475']
apsolab-rpc	['5474']
apsolab-tag	['5472']
apsolab-tags	['5473']
apw-registry	['3758']
apwi-disc	['4394']
apwi-imserver	['4391']
apwi-rxserver	['4392']
apwi-rxspooler	['4393']
apx500api-1	['2264']
apx500api-2	['2265']
arbortext-lm	['1557']
arcisdms	['262']
arcp	['7070']
arcpd	['3513']
ardt	['1826']
ardus-cntl	['1116']
ardus-mtrns	['1117']
ardus-trns	['1115']
ardusmul	['1835']
ardusuni	['1834']
areaguard-neo	['23546']
arena-server	['11321']
arepa-cas	['3030']
arepa-raft	['3025']
argis-ds	['2582']
argis-te	['2581']
aria	['2624']
ariel1	['419']
ariel2	['421']
ariel3	['422']
aries-kfinder	['7570']
ariliamulti	['3140']
aritts	['8423']
arkivio	['3426']
armadp	['1913']
armagetronad	['4534']
armcenterhttp	['9294']
armcenterhttps	['9295']
armi-server	['3174']
armtechdaemon	['9292']
arns	['384']
array-manager	['3726']
ars-master	['3176']
ars-vista	['27782']
artifact-msg	['3518']
aruba-server	['7166']
as-debug	['4026']
as-servermap	['449']
asa	['386']
asam	['3451']
asc-slmd	['4448']
asci-val	['1560']
ascomalarm	['4077']
asctrl-agent	['5155']
asdis	['2192']
asgcypresstcps	['11489']
asgenf	['5727']
asi	['1827']
asia	['626']
asihpi	['44600']
asip-webadmin	['311']
asipregistry	['687']
asmps	['45001']
asnaacceler8db	['5042']
asoki-sma	['3087']
aspcoordination	['7235']
aspeclmd	['1544']
aspen-services	['1749']
aspentec-lm	['6142']
asprovatalk	['1079']
asr	['7800']
assoc-disc	['24850']
assuria-ins	['4704']
assuria-slm	['4119']
assyst-dr	['4485']
astergatefax	['9107']
asterix	['8600']
astrolink	['27876']
astromed-main	['2864']
at-3	['203']
at-5	['205']
at-7	['207']
at-8	['208']
at-echo	['204']
at-nbp	['202']
at-rtmp	['201']
at-zis	['206']
atc-appserver	['1171']
atc-lm	['1170']
atex-elmd	['1385']
athand-mmp	['20999']
ati-ip-to-ncpe	['3965']
atlinks	['4154']
atm-uhas	['11367']
atm-zip-office	['1520']
atmp	['5150']
atmtcp	['2812']
ats	['2201']
atsc-mh-ssc	['4937']
att-mt-sms	['5586']
attachmate-g32	['2317']
attachmate-s2s	['2419']
attachmate-uts	['2304']
atul	['7543']
audio-activmail	['1397']
audiojuggler	['3643']
audit	['182']
audit-transfer	['1146']
auditd	['48']
aura	['2066']
auriga-router	['5680']
auris	['2772']
aurora	['9084']
aurora-balaena	['33123']
aurora-cmgr	['364']
aurp	['387']
authentx	['5067']
autobuild	['5115']
autocueds	['3437']
autocuesmi	['3103']
autodesk-lm	['1422']
autodesk-nlm	['2080']
autonoc	['1140']
autopac	['4685']
autotrac-acp	['31020']
av-emb-config	['2050']
availant-mgr	['1122']
avantageb2b	['2131']
avanti-cdp	['4065']
avauthsrvprtcl	['2068']
avdecc	['17221']
avenue	['2134']
avenyo	['2992']
avesterra	['20057']
avian	['486']
avinstalldisc	['3502']
aviva-sna	['2238']
avocent-adsap	['3871']
avocent-proxy	['1078']
avsecuremgmt	['3211']
avt-profile-1	['5004']
avt-profile-2	['5005']
avtp	['17220']
awacs-ice	['4488']
awg-proxy	['3277']
aws-brf	['22800']
axio-disc	['35100']
axis-wimp-port	['10260']
axon-lm	['1548']
axon-tunnel	['16665']
axysbridge	['4418']
ayiya	['5072']
aztec	['3512']
b-novative-ls	['1896']
b2-license	['2204']
b2-runtime	['2203']
b2n	['1179']
babel	['6696']
backburner	['2635']
backroomnet	['3387']
backup-express	['6123']
backupedge	['3946']
bacnet	['47808']
bacula-dir	['9101']
bacula-fd	['9102']
bacula-sd	['9103']
badm-priv	['6505']
badm-pub	['6506']
bandwiz-system	['1929']
banyan-net	['2708']
banyan-rpc	['567']
banyan-vip	['573']
barracuda-bbs	['5120']
base	['5429']
batman	['4305']
bb	['1984']
bbars	['3327']
bbn-mmc	['1347']
bbn-mmx	['1348']
bccp	['4175']
bcinameservice	['3415']
bcs	['4677']
bcs-broker	['1704']
bcs-lmserver	['1951']
bcslogc	['13216']
bctp	['8999']
bctp-server	['10107']
bdir-priv	['6507']
bdir-pub	['6508']
bdp	['581']
beacon-port	['3124']
beacon-port-2	['4426']
bears-01	['2852']
bears-02	['3146']
beeyond	['2414']
beeyond-media	['1943']
beorl	['5633']
beserver-msg-q	['3527']
bess	['3960']
bex-webadmin	['6122']
bex-xr	['15660']
beyond-remote	['5424']
bf-game	['25954']
bf-master	['25955']
bfd-control	['3784']
bfd-echo	['3785']
bfd-lag	['6784']
bfd-multi-ctl	['4784']
bflckmgr	['3966']
bftp	['152']
bgmp	['264']
bgp	['179']
bgs-nsi	['482']
bh611	['354']
bhevent	['357']
bhfhs	['248']
bhmds	['310']
biap-mp	['1962']
biimenu	['18000']
bim-pem	['3783']
binderysupport	['2302']
bingbang	['29999']
binkp	['24554']
bintec-admin	['2107']
bintec-capi	['2662']
bintec-tapi	['2663']
biolink-auth	['3411']
bioserver	['6946']
biotic	['5087']
bip	['4376']
bis-sync	['5585']
bis-web	['5584']
bitforestsrv	['5068']
bitspeer	['2178']
bl-idm	['142']
blackboard	['2032']
blackjack	['1025']
blaze	['1150']
blizwow	['3724']
blockade	['2911']
blockade-bpsp	['2574']
blocks	['10288']
blp1	['8194']
blp2	['8195']
blp3	['8292']
blp4	['8294']
blp5	['48129']
blueberry-lm	['1432']
bluectrlproxy	['2277']
bluelance	['2877']
blwnkl-port	['2625']
bmap	['3421']
bmc-ar	['2494']
bmc-ctd-ldap	['6301']
bmc-data-coll	['3695']
bmc-ea	['3683']
bmc-gms	['10129']
bmc-grx	['6300']
bmc-jmx-port	['3604']
bmc-messaging	['2059']
bmc-net-adm	['1769']
bmc-net-svc	['1770']
bmc-onekey	['3561']
bmc-patroldb	['1313']
bmc-perf-agent	['6767']
bmc-perf-mgrd	['6768']
bmc-perf-sd	['10128']
bmc-reporting	['4568']
bmcpatrolagent	['3181']
bmcpatrolrnvu	['3182']
bmdss	['13823']
bmpp	['632']
bnet	['415']
bnetfile	['1120']
bnetgame	['1119']
bngsync	['10439']
bnt-manager	['3344']
board-roar	['9700']
board-voip	['9750']
boe-cachesvr	['6403']
boe-cms	['6400']
boe-eventsrv	['6402']
boe-filesvr	['6404']
boe-pagesvr	['6405']
boe-processsvr	['6406']
boe-resssvr1	['6407']
boe-resssvr2	['6408']
boe-resssvr3	['6409']
boe-resssvr4	['6410']
boe-was	['6401']
boinc-client	['1043']
boks	['6500']
boks-clntd	['6503']
boks-servc	['6501']
boks-servm	['6502']
boldsoft-lm	['2961']
bolt	['7687']
bones	['4914']
boomerang	['1304']
boosterware	['2913']
bootpc	['68']
bootps	['67']
bootserver	['2016']
borland-dsj	['707']
boscap	['2990']
bosswave	['28589']
bounzza	['2218']
boxbackupstore	['4186']
boxp	['9380']
bpcd	['13782']
bpcp-poll	['2844']
bpcp-trap	['2845']
bpdbm	['13721']
bpjava-msvc	['13722']
bpmd	['3593']
bprd	['13720']
br-channel	['5425']
brain	['2169']
brcd	['1323']
brcd-vr-req	['4415']
brcm-comm-port	['3188']
brdptc	['2155']
bre	['4096']
brf-gw	['22951']
bridgecontrol	['1073']
brightcore	['5682']
brlp-0	['4101']
brlp-1	['4102']
brlp-2	['4103']
brlp-3	['4104']
broker-service	['3014']
brp	['3043']
bruce	['2619']
brutus	['2003']
brvread	['1054']
bsfserver-zn	['5320']
bsfsvr-zn-ssl	['5321']
bspne-pcc	['1252']
bsquare-voip	['1071']
btpp2audctr1	['2536']
btpp2sectrans	['2444']
btprjctrl	['2803']
btrieve	['3351']
bts-appserver	['1961']
bts-x73	['3681']
buddy-draw	['1854']
bues-service	['2446']
bullant-rap	['2965']
bullant-srap	['2964']
burp	['4971']
buschtrommel	['4747']
business	['3107']
busycal	['4990']
bv-agent	['3993']
bv-ds	['3992']
bv-is	['3990']
bv-queryengine	['3989']
bv-smcsrv	['3991']
bvcdaemon-port	['3626']
bvcontrol	['1236']
bveapi	['10880']
bvtsonar	['1149']
bxp	['4027']
bytex	['1375']
bzflag	['5154']
bzr	['4155']
c-h-it-port	['3778']
c1222-acse	['1153']
c3	['2472']
ca-1	['5064']
ca-2	['5065']
ca-audit-da	['8025']
ca-audit-ds	['8026']
ca-idms	['3709']
ca-web-update	['14414']
caaclang2	['5249']
caacws	['5248']
cab-protocol	['595']
cableport-ax	['282']
cabsm-comm	['7161']
caci-lm	['1554']
cacsambroker	['7163']
cadabra-lm	['1563']
cadencecontrol	['2318']
cadis-1	['1441']
cadis-2	['1442']
cadkey-licman	['1399']
cadkey-tablet	['1400']
cadlock	['770']
cadlock2	['1000']
cadsi-lm	['1387']
cadsisvr	['16789']
cadview-3d	['649']
caerpc	['42510']
caevms	['5251']
caicci	['1721']
caiccipc	['1202']
caids-sensor	['1192']
caistoragemgr	['7162']
cajo-discovery	['1198']
cal	['588']
caldsoft-backup	['22537']
call-logging	['2552']
call-sig-trans	['2517']
caller9	['2906']
calltrax	['3675']
callwaveiam	['9283']
camac	['3545']
cambertx-lm	['1734']
camp	['4450']
can-dch	['1919']
can-ferret	['1920']
can-ferret-ssl	['3661']
can-nds	['1918']
can-nds-ssl	['3660']
canditv	['24676']
candp	['42508']
candrp	['42509']
canex-watch	['3583']
canocentral0	['1871']
canocentral1	['1872']
canon-bjnp1	['8611']
canon-bjnp2	['8612']
canon-bjnp3	['8613']
canon-bjnp4	['8614']
canon-capt	['3756']
canon-cpp-disc	['8609']
canon-mfnp	['8610']
canto-roboflow	['8998']
cap	['1026']
capfast-lmd	['1756']
capioverlan	['1147']
capmux	['4728']
caps-lm	['3290']
capwap-control	['5246']
capwap-data	['5247']
car	['5090']
cardax	['1072']
cardbox	['3105']
cardbox-http	['3106']
cardifftec-back	['4573']
carrius-rshell	['1197']
cart-o-rama	['3292']
cartographerxmp	['5270']
cas	['2418']
cas-mapi	['3682']
casanswmgmt	['3669']
casp	['1130']
caspssl	['1131']
casrmagent	['7167']
castorproxy	['3450']
catalyst	['2836']
catchpole	['1185']
caupc-remote	['2122']
cautcpd	['3061']
cawas	['12168']
cba8	['9593']
cbos-ip-port	['3750']
cbp	['4419']
cbserver	['3388']
cbt	['7777']
cbus	['5550']
cc-tracking	['4870']
ccag-pib	['7169']
ccm-port	['3575']
ccmad	['3114']
ccmail	['3264']
ccmcomm	['3505']
ccmrmi	['3154']
ccnx	['9695']
ccowcmr	['2116']
ccp	['3947']
ccs-software	['2734']
ccss-qmm	['4969']
ccss-qsm	['4970']
cctv-port	['3559']
ccu-comm-1	['4053']
ccu-comm-2	['4054']
ccu-comm-3	['4055']
cd3o-protocol	['3616']
cdbroker	['3376']
cdc	['223']
cddbp-alt	['8880']
cdfunc	['2045']
cdid	['3315']
cdl-server	['3056']
cdn	['2412']
cds	['4115']
cecsvc	['2571']
cedros-fds	['4140']
cefd-vmp	['10023']
celatalk	['3485']
centerline	['3987']
centra	['1709']
ceph	['3300']
cequint-cityid	['4074']
cera-bcm	['1794']
cernsysmgmtagt	['3830']
cert-initiator	['1639']
cert-responder	['1640']
cesdcdman	['2921']
cesdcdtrn	['2922']
cesdinv	['2856']
cfdptkt	['120']
cfengine	['5308']
cfs	['7546']
cft-0	['1761']
cft-1	['1762']
cft-2	['1763']
cft-3	['1764']
cft-4	['1765']
cft-5	['1766']
cft-6	['1767']
cft-7	['1768']
cfw	['7563']
cgi-starapi	['3893']
cgms	['3003']
cgn-config	['2183']
cgn-stat	['2182']
chargen	['19']
charsetmgr	['3903']
checkoutdb	['5505']
checkpoint-rtm	['18241']
checksum	['1386']
chevinservices	['3349']
childkey-ctrl	['1892']
childkey-notif	['1891']
chimera-hwm	['4009']
chip-lm	['1572']
chipper	['17219']
chmd	['3099']
choiceview-agt	['4314']
choiceview-clt	['4316']
chromagrafx	['1373']
chshell	['562']
ci3-software-1	['1301']
ci3-software-2	['1302']
cichild-lm	['1523']
cichlid	['1377']
cifs	['3020']
cim-rs	['5993']
cimple	['10125']
cimplex	['673']
cimtrak	['3749']
cindycollab	['3770']
cinegrfx-elmd	['2891']
cinegrfx-lm	['1743']
ciphire-data	['3887']
ciphire-serv	['3888']
circle-x	['2931']
cis	['22305']
cis-secure	['22343']
cisco-avp	['8470']
cisco-fna	['130']
cisco-ipsla	['1167']
cisco-net-mgmt	['1741']
cisco-redu	['5786']
cisco-sccp	['2000']
cisco-snat	['15555']
cisco-sys	['132']
cisco-tdp	['711']
cisco-tna	['131']
cisco-vpath-tun	['6633']
cisco-wafs	['4050']
ciscocsdb	['43441']
citadel	['504']
citrix-rtmp	['2897']
citrixadmin	['2513']
citrixima	['2512']
citriximaclient	['2598']
citrixupp	['7228']
citrixuppg	['7229']
citynl	['1729']
citysearch	['3974']
cl-1	['172']
cl-db-attach	['4135']
cl-db-remote	['4137']
cl-db-request	['4136']
clariion-evr01	['6389']
classic	['9087']
cleanerliverc	['3481']
clearcase	['371']
clearvisn	['2052']
clever-ctrace	['6687']
clever-tcpip	['6688']
cleverdetect	['6690']
client-ctrl	['3730']
client-wakeup	['9694']
cloanto-lm	['3397']
cloanto-net-1	['356']
close-combat	['1944']
cloudsignaling	['7550']
clp	['2567']
cluster-disc	['3374']
clusterxl	['18243']
clutild	['7174']
clvm-cfg	['1476']
cm	['5910']
cma	['1050']
cmadmin	['2617']
cmc-port	['3576']
cmip-agent	['164']
cmip-man	['163']
cmmdriver	['1294']
cnap	['7262']
cnckadserver	['7168']
cncp	['4785']
cnhrp	['1757']
cnrp	['2757']
cnrprotocol	['1096']
cns-srv-port	['2976']
coap	['5683']
coaps	['5684']
coauthor	['1529']
cockroach	['26257']
codaauth2	['370']
codasrv	['2432']
codasrv-se	['2433']
codemeter	['22350']
codemeter-cmwan	['22351']
codima-rtp	['2415']
cogitate	['3039']
cognex-dataman	['44444']
cognex-insight	['1069']
cognima	['3779']
cogsys-lm	['3377']
collaber	['7689']
collaborator	['622']
colubris	['3490']
com-bardac-dw	['48556']
combox-web-acc	['2534']
comcam	['2108']
comcam-io	['3605']
commandport	['3416']
commerce	['542']
commlinx-avl	['1190']
commonspace	['1592']
commplex-link	['5001']
commplex-main	['5000']
commtact-http	['20002']
commtact-https	['20003']
community	['2459']
comotionback	['2262']
comotionmaster	['2261']
compaq-evm	['619']
compaq-https	['2381']
compaq-scp	['2766']
compaq-wcp	['2555']
composit-server	['2417']
compressnet	['2','3']
compx-lockview	['4308']
comscm	['437']
con	['759']
conclave-cpp	['2491']
concomp1	['1802']
concurrent-lm	['1648']
condor	['9618']
conference	['531']
conferencetalk	['1713']
config-port	['3577']
confluent	['1484']
connect	['2137']
connect-client	['3441']
connect-server	['3442']
connected	['16384']
connection	['2607']
connendp	['693']
connlcli	['1358']
conspiracy	['4692']
consul-insight	['5992']
contamac-icm	['4846']
contclientms	['4665']
contentserver	['454','3365']
continuus	['5412']
controlone-con	['7551']
converge	['4774']
coord-svr	['2565']
cops	['3288']
cops-tls	['3183']
copycat	['9093']
corba-iiop	['683']
corba-iiop-ssl	['684']
corbaloc	['2809']
corel-vncadmin	['2654']
corelccam	['4300']
corelvideo	['1566']
corerjd	['284']
cosir	['10321']
cosmocall	['2324']
couchdb	['5984']
courier	['530']
covia	['64']
cp-cluster	['8116']
cp-spxdpy	['4378']
cp-spxrpts	['5079']
cp-spxsvr	['4377']
cpdi-pidas-cm	['3609']
cpdlc	['5911']
cplscrambler-al	['1088']
cplscrambler-in	['1087']
cplscrambler-lg	['1086']
cppdp	['4051']
cpq-tasksmart	['3201']
cpq-wbem	['2301']
cpqrpm-agent	['3256']
cpqrpm-server	['3257']
cps	['14250']
cpscomm	['5194']
cpsp	['17222']
cpudpencap	['2746']
cqg-netlan	['2823']
cqg-netlan-1	['2824']
cr-websystems	['2314']
creativepartnr	['455','3366']
creativeserver	['453','3364']
crestron-cip	['41794']
crestron-cips	['41796']
crestron-ctp	['41795']
crestron-ctps	['41797']
crinis-hb	['3818']
crip	['6253']
crmsbits	['2422']
crs	['507']
cruise-config	['8378']
cruise-diags	['8379']
cruise-enum	['8376']
cruise-swroute	['8377']
cruise-update	['8380']
crusecontrol	['5231']
cryptoadmin	['624']
cs-auth-svr	['3113']
cs-live	['2129']
cs-remote-db	['3630']
cs-services	['3631']
csbphonemaster	['1724']
csc-proxy	['4187']
csccfirewall	['40843']
csccredir	['40842']
cscp	['40841']
csd-monitor	['3072']
csdm	['1468','1472']
csdmbase	['1467','1471']
csedaemon	['5232']
csi-lfap	['3145']
csi-sgwp	['348']
cslg	['24754']
cslistener	['9000']
csms	['3399']
csms2	['3400']
csnotify	['2955']
csoauth	['7847']
csoft-plusclnt	['2699']
csoft-prev	['3271']
csoft1	['1837']
csoftragent	['3004']
cspclmulti	['2890']
cspmlockmgr	['1272']
cspmulti	['2807']
cspuni	['2806']
csregagent	['3022']
csrpc	['5063']
cssc	['5637']
cssp	['4078']
cst-port	['3742']
csvr	['3417']
csvr-proxy	['3190']
csvr-sslproxy	['3191']
ct2nmcs	['7023']
ctcd	['1851']
ctdb	['4379']
ctdhercules	['3773']
ctdp	['7022']
ctechlicensing	['9346']
ctf	['84']
cti-redwood	['2563']
ctiprogramload	['4452']
ctisystemmsg	['4451']
ctlptc	['2153']
ctp	['3772']
ctp-state	['4047']
ctsd	['5137']
ctt-broker	['1932']
ctx-bridge	['3127']
ctxlic	['7279']
ctxs-vpp	['4980']
cuillamartin	['1356']
cumulus	['9287']
cumulus-admin	['8954']
cuseeme	['7648']
custix	['528']
cvc	['1495']
cvc-hostd	['442']
cvd	['8400']
cvmmon	['2300']
cvmon	['1686']
cvspserver	['2401']
cvsup	['5999']
cwmp	['7547']
cxtp	['5091']
cxws	['4673']
cyaserv	['2584']
cybercash	['551']
cyborg-systems	['9888']
cyborgnet	['4183']
cybro-a-bus	['8442']
cyc	['3645']
cycleserv	['763']
cycleserv2	['772']
cylink-c	['5420']
cymtec-port	['1898']
cytel-lm	['3297']
d-cinema-csp	['4170']
d-cinema-rrp	['1173']
d-data	['4301']
d-data-control	['4302']
d-fence	['8555']
d-s-n	['8086']
d2000kernel	['3119']
d2000webserver	['3120']
d2dconfig	['9387']
d2ddatatrans	['9388']
d2k-datamover1	['2297']
d2k-datamover2	['2298']
d2k-tapestry1	['3393']
d2k-tapestry2	['3394']
d3winosfi	['3458']
daap	['3689']
dab-sti-c	['1076']
dai-shell	['45824']
daishi	['2870']
dali-port	['5777']
damewaremobgtwy	['6130']
dandv-tester	['3889']
danf-ak2	['1041']
daqstream	['7411']
darcorp-lm	['1679']
dashpas-port	['3498']
dasp	['439']
data-insurance	['2764']
data-port	['3578']
datacaptor	['1857']
datalens	['2229']
datascaler-ctl	['6625']
datascaler-db	['6624']
datasurfsrv	['461']
datasurfsrvsec	['462']
datex-asn	['355']
datusorb	['3282']
davsrc	['9800']
davsrcs	['9802']
dawn	['1908']
dayliteserver	['6113']
daylitetouch	['6117']
daytime	['13']
dbabble	['8132']
dbase	['217']
dbbrowse	['47557']
dbcontrol-agent	['3938']
dbcontrol-oms	['1158']
dbdb	['6104']
dberegister	['1479']
dbisamserver1	['12005']
dbisamserver2	['12006']
dbm	['2345']
dbref	['2365']
dbreporter	['1379']
dbstar	['1415']
dbsyncarbiter	['4953']
dca	['1456']
dcap	['22125']
dccm	['5679']
dccp-udp	['6511']
dcp	['93']
dcs	['1367']
dcs-config	['3988']
dcsl-backup	['11202']
dcsoftware	['3793']
dctp	['675']
dcutility	['1044']
dddp	['9131']
ddgn	['4167']
ddi	['8888-8894']
ddm-dfm	['447']
ddm-rdb	['446']
ddm-ssl	['448']
ddns-v3	['2164']
ddrepl	['4126']
ddt	['1052']
de-cache-query	['1255']
de-noc	['1254']
de-server	['1256']
de-spot	['2753']
dec-dlm	['625']
dec-mbadmin	['1655']
